City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Anchorage,AK,60.50,7.90,9.20,6.10,13.00
Anchorage Northeast,AK,82.70,3.70,6.10,1.70,3.50
Barrow,AK,11.70,62.10,5.00,0.20,16.10
Bethel,AK,22.10,62.20,6.00,1.50,2.90
Eielson AFB,AK,82.00,1.10,10.50,3.70,2.50
Fairbanks,AK,72.30,7.40,9.60,5.80,4.60
Juneau,AK,67.90,11.40,6.60,1.30,8.50
Kenai,AK,69.40,13.80,6.50,1.30,3.00
Ketchikan,AK,62.20,16.10,5.80,0.70,10.00
Kodiak,AK,47.40,11.40,9.20,0.00,31.20
Kotzebue,AK,21.60,67.50,4.90,1.30,1.00
Lakes--Knik-Fairview--Wasilla,AK,81.70,5.50,5.30,1.50,1.80
Nome,AK,29.40,51.70,5.90,1.30,2.00
Sitka,AK,64.50,14.10,6.40,0.30,9.20
Soldotna,AK,86.10,5.30,3.80,0.60,1.20
Albertville,AL,89.90,0.10,23.90,4.80,1.00
Alexander City,AL,49.00,0.40,6.40,45.30,1.40
Andalusia,AL,69.60,0.00,1.90,28.00,0.60
Anniston--Oxford,AL,65.50,0.40,4.60,28.20,1.60
Arab,AL,95.60,0.30,1.40,0.90,1.20
Athens,AL,78.00,1.00,7.10,15.50,1.70
Atmore,AL,40.90,2.60,0.00,53.40,1.00
Auburn,AL,64.50,0.10,4.70,26.90,5.40
Bay Minette,AL,55.40,0.40,2.80,41.10,0.40
Birmingham,AL,55.30,0.20,4.40,38.60,1.80
Brent,AL,53.50,0.30,3.50,45.00,0.00
Brewton,AL,56.60,0.20,2.00,40.20,1.70
Centre,AL,86.60,0.50,0.00,12.70,0.00
Clanton,AL,63.00,0.20,8.10,26.40,2.90
Columbiana,AL,68.80,0.20,1.20,29.40,0.00
Cullman,AL,94.30,0.50,9.40,0.90,0.80
Daphne--Fairhope,AL,82.80,0.30,3.80,12.00,1.40
Decatur,AL,71.60,0.30,12.20,19.90,0.90
Demopolis,AL,38.50,0.00,0.70,60.80,0.00
Dothan,AL,62.60,0.30,3.50,33.10,1.10
Enterprise,AL,71.60,0.70,11.40,19.60,2.10
Eufaula,AL,36.10,0.00,3.50,57.90,2.60
Evergreen,AL,33.50,0.00,4.20,61.60,0.00
Fayette,AL,62.60,0.00,2.10,32.00,0.80
Florence,AL,78.60,0.60,2.90,17.30,0.80
Foley,AL,84.80,0.20,5.50,12.10,0.80
Fort Payne,AL,70.20,1.60,35.00,4.70,10.00
Gadsden,AL,71.90,0.80,4.60,23.90,1.10
Geneva,AL,78.30,0.00,0.00,17.50,3.20
Grand Bay,AL,99.80,0.20,0.40,0.00,0.00
Greenville,AL,34.00,0.00,0.00,63.20,0.00
Haleyville,AL,95.50,0.00,10.10,1.20,0.30
Hamilton,AL,82.60,0.10,3.80,10.90,0.00
Hanceville,AL,93.70,0.00,5.60,3.90,0.00
Hazel Green,AL,80.30,0.40,0.00,17.50,0.00
Headland,AL,54.20,0.80,1.10,43.30,0.00
Huntsville,AL,66.50,0.40,5.10,26.10,3.00
Jackson,AL,50.00,0.00,0.00,50.00,0.00
Jasper,AL,81.20,0.00,4.10,15.40,1.20
Lake View,AL,90.40,0.60,1.10,5.20,0.20
Mobile,AL,53.80,0.30,3.00,40.90,2.10
Monroeville,AL,35.10,0.20,0.00,63.90,0.70
Montgomery,AL,42.40,0.20,3.50,51.90,2.10
Moulton,AL,77.10,1.70,0.00,19.40,0.00
Moundville,AL,54.70,0.80,5.20,36.60,0.70
Oneonta,AL,84.90,0.10,18.60,9.50,0.00
Opp,AL,75.40,0.50,2.00,22.80,0.20
Ozark,AL,57.20,0.40,2.50,37.00,0.50
Pell City,AL,83.40,0.30,0.80,12.60,2.50
Piedmont,AL,84.30,0.60,2.80,11.80,0.40
Priceville,AL,89.00,1.10,0.20,5.60,1.10
Roanoke,AL,51.20,0.00,5.80,46.00,0.00
Robertsdale,AL,93.70,2.00,6.90,2.50,0.00
Russellville,AL,68.60,2.50,41.60,10.80,1.00
Scottsboro,AL,84.40,1.10,5.80,7.60,1.80
Selma,AL,16.90,0.00,1.20,81.20,0.80
Springville,AL,97.90,0.00,0.00,2.10,0.00
Sumiton,AL,90.30,0.00,0.80,8.30,0.50
Sylacauga,AL,66.90,0.40,3.50,29.30,0.00
Talladega,AL,40.30,0.50,4.90,54.70,1.40
Tallassee,AL,62.70,0.00,2.60,30.90,4.10
Thomasville,AL,45.90,0.00,0.30,51.90,2.20
Troy,AL,49.50,0.60,0.40,45.70,3.60
Tuscaloosa,AL,56.20,0.20,3.60,39.00,2.00
Tuskegee,AL,1.50,0.10,1.80,96.30,0.30
Union Springs,AL,13.50,0.00,0.90,85.90,0.50
Valley--Lanett,AL,48.90,0.10,2.30,48.40,1.40
Wetumpka,AL,61.10,0.30,1.60,34.90,0.30
Woodstock,AL,92.00,0.10,3.10,6.70,0.60
Arkadelphia,AR,64.60,0.30,5.80,30.50,0.80
Ashdown,AR,66.50,1.20,0.00,30.80,0.00
Bald Knob,AR,89.20,0.00,3.90,3.80,0.00
Batesville,AR,84.40,0.60,14.40,4.70,1.40
Beebe,AR,91.50,0.00,4.20,7.20,0.00
Berryville,AR,89.80,0.60,22.20,0.80,4.50
Blytheville,AR,43.40,0.00,4.00,54.00,1.10
Booneville,AR,91.40,0.00,11.70,0.00,0.00
Brinkley,AR,44.90,0.00,4.90,50.40,1.20
Camden,AR,38.70,0.50,4.10,58.80,0.00
Cherokee Village,AR,97.50,0.00,2.40,0.00,1.50
Clarksville,AR,85.20,0.00,24.90,4.70,2.60
Conway,AR,75.10,0.20,5.10,17.20,2.20
Corning,AR,97.80,0.00,2.20,0.00,0.00
Crossett,AR,65.50,0.50,7.80,33.70,0.00
